"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector","salary"
"Physics Teacher @ Roseville Pathways (2025-26)","Roseville, CA","2025-06-05","Roseville Joint Union High School District","Valid California Single Subject Science Credential in Physics English Learner Authorization Second Science Authorization is desired (i.e. Biology, Chemistry)","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Education Management",""
"Upper School Physics/Math Teacher","Bryn Mawr, PA","2025-05-12","Sacred Heart Academy Bryn Mawr","Sacred Heart Academy (SHA) Bryn Mawr (PA) seeks an Upper School Physics/Math Teacher for the 2025-26 school year. The candidate will teach Upper School Physics & Math on a rotating schedule. The ideal candidate is an enthusiastic educator who has experience teaching Physics and Math courses at the high school level. The candidate possesses a willingness to collaborate with dedicated educators within the Sacred Heart faculty. The candidate will demonstrate a passion for working with adolescent girls as well as a commitment to the development of the whole child.

The candidate will also participate in the life of the Upper School by serving as an advisor and leading a club or coaching a sports team.

Sacred Heart educators immerse students in diverse global perspectives, developing competencies such as critical consciousness, language facility and cultural literacy. The ideal candidate should model these values.

Qualifications


 * Bachelor’s degree in Physics (or related field) required; advanced degree preferred
 * Prior teaching experience preferred
 * Willingness to work with colleagues to evaluate, design, and implement Physics and Math curricula
 * Passion for teaching and for girls’ education
 * Ability to design and facilitate rigorous, empowering learning that is student-centered and meaningful
 * Intellectual curiosity and a desire to spark a love of learning in students
 * Excellent communication and organization skills
 * A genuine appreciation of adolescents, a sense of humor, and the ability to work well within a collaborative environment
 * Proficiency in the use of classroom technology: interactive smart boards, learning management systems, Google Workspace, and more
 * Commitment to curriculum and instruction that demonstrates cultural competency
 * Commitment to promoting “the inherent dignity of the human person and (striving) for relationships characterized by inclusion and mutual respect” (Sacred Heart Goal IV Criteria 1).
   
   

To apply, please send a cover letter, resume, and contact information for three professional references to Director of Academics Donna Romero (donna.romero@shabrynmawr.org).","Be among the first 25 applicants","Full-time","Internship","Education and Training","Primary and Secondary Education",""
"SCIENCE (PHYSICS) TEACHER","Miami, FL","2024-07-11","Miami-Dade County Public Schools","Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.

BASIC OBJECTIVES

This is a professional position responsible for the instruction of one or more subjects to K-12 school students.

Job Tasks/Responsibilities


 * Instructs students, using various teaching methods, including lectures and demonstrations.
 * Prepares course objectives and outline for course of study following curriculum guidelines.
 * Assigns lessons; assesses student's progress including homework assignments; and hears presentations.
 * Prepares and administers tests to evaluate pupil progress, records results, issues reports to inform parents of progress and assigns final grades.
 * Maintains attendance and grade records as required by school.
 * Counsels pupils when adjustment and academic problems arise.
 * Maintains discipline in the classroom.
 * Meets with parents to discuss pupils' academic, social and behavioral progress.
 * Participates in faculty and professional meetings, educational conferences and inservice classes.
 * Performs related work as required or as assigned by the supervising administrator or his/her designee.
   
   

Physical Requirements

This is light work which requires the following physical activities: mobility, reaching, sitting, finger dexterity, lifting, grasping, repetitive motions, talking, hearing and visual acuity.

Minimum Qualification Requirements

As specified in the State Statutes.

Application Requirements

To create your candidate profile, you will need to gather the following:


 * Personal information
 * Current resume and work history
 * Certification information
    * For certification information, please visit https://www.hrdadeschools.net/certification/



 * Official SEALED transcripts must be submitted to M-DCPS via one of the following:
    * U.S. Mail addressed to:
      

Miami-Dade County Public Schools, Transcript Desk,

1450 NE 2nd Avenue, Suite 150

Miami, FL 33132


 * 
    * Electronic Mail to: PersRecords@dadeschools.net
       * You must use National Student Clearinghouse , Parchment , or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.

 * Two professional references:
    * Uploaded References must be on a letterhead OR on the District’s Reference Form ( Printing T:\FORMS\3000\3506.FRP (dadeschools.net) , have an original signature, and be dated within the last year from current or past supervisors or college professors.
      

Starting Salary: $53,053.00*


 * (includes 6% Referendum Retirement Accruing Supplement of $3,003)
   
   

New hires may be eligible to receive credit for verified years of experience, which can enhance their starting salary.

For more details, please refer to the Newly Hired/ Teachers Salary Schedule - Click Here

Please use the link below for salary inquiries.

Salary Inquiry Request - Click here

We are an equal opportunity employer.","Be among the first 25 applicants","Full-time","Entry level","Education","Education",""
"Math & Science Instructors","California, United States","2025-02-24","Mavin Learning Resources","Mavin Learning Resources strives to ignite our students' passion in learning. Our office provides Personalized College Consulting & Application Assistance, College Essays, Academic Tutoring and Test Prep.

We're looking for Math & Science Tutors: We want tutors who are passionate about teaching and have fully mastered the subjects they teach to join our expanding team.

Subject Areas: Biology, Chemistry, Physics, Algebra, Calculus, Statistics, Geometry, etc.

Under general supervision of Center Administrative Staff, provide instruction to student, work cooperatively with parents and their child to determine educational goals and objectives, create individualized curriculum/learning plans; assist the parents and/or student so that the student can meet or exceed educational standards and reach their full potential; performs other duties as assigned.

Requirements


 * Bachelor's degree in relevant field, (Master's Degree Preferred)
 * 2-5 years of teaching experience
 * Experience in tutoring or teaching high school highly preferred.
   
   

Responsibilities


 * Develop curriculum for specific learning.
 * Motivate student to engage in the instruction.
 * Plan, prepare and present lessons tailored towards the student's individual needs and abilities.
 * Ensure each course of study meets the goals and objectives of the student.
 * Evaluate student progress and develop a plan of action for continuing achievement.
 * Prepare instructional materials.
 * Prepare lesson plans to meet goals identified in students' individualized study plans.
   
   

CANDIDATES ARE EXPECTED TO GIVE A 10 MINUTE DEMONSTRATION LESSON AFTER INTERVIEW.","Be among the first 25 applicants","Part-time","Not Applicable","Education","Education Administration Programs",""
"Physics Teacher","Reading, PA","2023-10-03","Reading School District  l  Reading, Pa.","Position Title: Science Teacher

Classification: REA

Reports To: Building Principal

Position Goal: To develop in each student an awareness of the role of science in economic and social progress; to motivate each student to acquire knowledge of scientific facts and principles, and skills in scientific methods of problem solving; to discover and develop special talents of students in scientific fields.

ESSENTIAL FUNCTIONS: Other duties may be assigned.

The essential functions of this position include, but are not limited to the following fundamental duties:


 * Teaches skills, knowledge, and scientific attitudes through courses in general science, earth sciences, biology, chemistry, physics, physiology, or science problems to secondary students, utilizing course of study adopted by the Board of Education and other appropriate learning activities.
 * Instructs students in citizenship and basic subject matter specified in state law and administrative regulations and procedures of the school district.
 * Plans a science program involving demonstrations, lectures, discussions, and student experiments; organizes laboratory activities for optimal learning.
 * Demonstrates scientific concepts by use of scientific apparatus, experiments, and standard or teacher-prepared charts, sketches, and other instructional aids.
 * Provides individual or small group instruction in order to adapt the curriculum to the needs of students and to accommodate circumstances where a variety of projects and experiments are being worked on simultaneously.
 * Instructs in proper use, care, and safe handling of chemicals, science equipment, and plant and animal life.
 * Provides for safe storage and proper use of materials, equipment and tools. Makes minor adjustments and requests repairs to equipment as required.
 * Establishes and maintains standards of student behavior for a productive learning environment during class sessions, laboratory sessions, and field trips.
 * Evaluates each student’s growth and knowledge, skills, and scientific attitudes in course being taught.
 * Selects and requests books, instructional aids, science equipment, chemicals, and supplies and maintains inventory records as required.
 * Maintains professional competence through in service education activities provided by the District and self-selected professional growth activities.
 * Identifies students’ needs, and cooperates with other professional staff members in helping students solve health, attitude, and learning problems.
 * Participates in curriculum and other developmental programs.
 * Assists students in selection and development of individual research projects.
 * Cooperates with school administration in providing science displays and programs for the school and community, and in sponsoring science activities.
 * Communicates with parents and school counselors on student progress.
 * Supervises student in out-of-classroom activities during the assigned work day.
 * Participates in faculty committees and sponsorship of student activities.
 * Participates cooperatively with the principal or his designee to develop the method by which the teacher will be evaluated in conformance with district guidelines.
 * Performs other duties as assigned by the Superintendent or his/her designee. This job description does not constitute an exhaustive list of responsibilities and management may revise it at any time.
   
   

Additional Requirement

Ability to travel to more than one work location in the course of the as assigned.

SUPERVISORY RESPONSIBILITIES: None

QUALIFICATION REQUIREMENTS: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

EDUCATION And/or EXPERIENCE

Bachelors or Masters Degree

Certificates, Licenses, Registrations

Pennsylvania Instructional Teaching Certificate

Language Skills


 * Ability to speak clearly and distinctly.
 * Ability to write routine reports and correspondence.
 * Ability to speak effectively with other employees, students and parents.
   
   

MATHEMATICAL SKILLS:


 * Ability to apply basic arithmetic calculations.
 * Ability to add, subtract, multiply and divide in all units of measure, using whole numbers, common fractions, and decimals.
 * Ability to compute rate, ratio, and percent and to draw and interpret bar graphs.
 * Ability to apply concepts such as fractions, percentages, ratios and proportions for practical situations.
 * Ability to apply concepts of basic algebra and geometry.
   
   

Reasoning Ability


 * Ability to define problems, collect data, establish facts and draw valid conclusions.
 * Ability to interpret a variety of instructions furnished in written, oral or schedule form.
   
   

OTHER SKILLS And ABILITIES


 * Ability to coordinate activities with related and specialist staff.
 * Ability to develop and maintain required records and reports.
 * Ability to establish and maintain effective working relationships with peers, parents and the community.
 * Good knowledge of procedures, practices, materials, and equipment required to provide appropriate learning experiences for students to whom assigned.
 * Ability to work as a member of a team.
 * Must be courteous and able to deal effectively with people.
 * Must be cooperative, congenial and service-oriented.
 * Ability to maintain personal self-control in stressful situations.
 * Ability to operate a personal computer and software.
 * Ability to travel to more than one work location in the course of the day as assigned.
   
   

PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to walk and talk or hear. The employee frequently is required to stand and sit. The employee is occasionally required to use hands to finger, handle, or feel objects, tools, or controls; and reach with hands and arms. Some driving is necessary; light lifting – up to 25 pounds. Specific vision abilities required by this job include close vision, distance vision, and depth perception. Occasionally, yet essential to this position, the individual must meet deadlines with severe time constraints.

WORK ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The noise level in the work environment is usually quiet but may be moderate to loud at times. The employee is frequently required to interact with the parents, public and staff during and after the normal workday. The position requires the individual to meet multiple demands from several people and exhibit good human relation skills including courtesy, tact and patience.

EVALUATION: The employee will be formally supervised and evaluated with regard to his/her duties on a regular basis by the Building Principal.

The position holder must be able to perform the essential job functions with or without reasonable accommodation. It is the responsibility of the employee to inform the school district administrator designated as immediate supervisor of the position, of any and all reasonable accommodations that will be required. The information contained in this job description is for compliance with the Americans with Disabilities Act (A.D.A.) and is not an exhaustive list of the duties performed for this position. Additional duties are performed by the individuals currently holding this position and additional duties may be assigned.

The Reading School District is an equal opportunity employment, educational and service organization.","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Primary and Secondary Education",""
"Math Instructor (Grades K-12)","Oakdale, NY","2024-10-31","Mathnasium","Be more than a tutor! Learn the Mathnasium Method, and Make Math Make Sense to our students!

Mathnasium of Sayville has immediate openings for instructors who are passionate about math.

We are looking for people with very strong math skills, well-developed communication and inter-personal skills, and a passion to engage with and help math students in grades K - 12.

Paid training in the Mathnasium Method of instruction will be provided.

At Mathnasium, all we do is math, and we do it extremely well—whether the student needs to catch up, keep up, or get ahead.

All Candidates Must


 * Be very comfortable with mathematics up to and including Geometry, Algebra II, Pre-Calculus, and SAT-level math,
 * Pass a math literacy test without a calculator,
 * Be available to work from 4:00 pm to 8:00 pm at least 1 (preferably more) weekday (Monday - Thursday) evenings (more days preferred, weekdays preferred over weekends),
 * Pass a background check.
   
   

The learning center's environment is supportive, encouraging, collegial, and energetic.

We are open Monday through Thursday after school and on Sundays, and provide tutoring year-round, so this is an opportunity for regular part-time work.

We primarily need instructors who can easily commute to our learning center in Oakdale, NY. Some instructors will sometimes also work remotely, using their own Windows or Mac computer (with webcam).

This is a superb opportunity for college math, science, or education majors (with strong math skills), math teachers seeking part-time extra work, and retirees with math or math-related backgrounds.

We are part of a rapidly growing, highly respected franchise. There are over 1,100 Mathnasium Learning Centers in North America.

Please provide your available hours (and days), a mobile phone number, an e-mail address where you can be reached, and a resume.","Be among the first 25 applicants","Full-time","Associate","Education and Education","Higher Education, Education Administration Programs, and Research Services",""
"Math or Science Teacher (External Applicants Only)","Chicago, IL","2024-10-16","Acero Schools","Positions Math OR Science Teacher (External Applicants Only)

Reports to Principal

Location Chicago, IL

Salary range $64,480 - $77,329 with full Benefits


 * Low-deductible medical, dental and vision coverage
 * Three-weeks paid winter vacation
 * 10-month employees with 12-month salary pay
 * Positive family and community relationships established by our school teams
   
   
   

Submit your resume here to be considered for possible Elementary School Teacher opportunities within our network of 11 elementary schools and two high schools for the 2025-2026 school year.

WE ARE ACERO

Acero Schools teachers realize that success is built on relationships - with students, families and colleagues. Our teachers focus their work on student learning and wholeheartedly believe that all students can learn and demonstrate that with innovation and sharing best practices. As a teacher with Acero Schools, an individual is responsible for the academic growth of their students, and is relentless and resilient in their pursuit.

Our teachers lead the curriculum, instruction, and assessment for students to whom they are assigned. They use proven educational models for social-emotional learning, personalized learning, and data-driven differentiated instruction in a culturally-sensitive manner.

JOIN OUR TEAM


 * A team of driven individuals who contribute to, respect and serve in our communities.
 * A team of professional collaborators leading students and supporting their educational paths.
 * A team who embodies the values of achievement, community, equity, resilience and optimism.
 * Ensure high academic standards, set goals and do what it takes to achieve them.
 * Differentiate curriculum, instruction, and individualized learning plans to meet individual student needs.
 * Develop positive relationships with students.
 * Develop positive relationships with families for the purpose of creating a support for students and their growth.
 * Manage classroom behavior in a respectful manner that is consistent with the schoolwide rules and Acero Schools Student Code of Conduct.
 * Collaborate with instructional leaders to develop and execute a Professional Growth Plan for your development.
 * Clearly and accurately communicate with administration, colleagues, students, parents, and larger academic community to improve academic outcomes for all students.
 * Exhibit professionalism, leadership, and personal responsibility for daily work and attendance, personal appearance, student learning, and school success.
 * Demonstrate collegial behavior and make positive contributions to the school community.
 * Believe in our ability to create the future we envision.
 * Education Bachelor’s degree (required).
 * Be able to demonstrate the academic progress of students under your leadership and articulate the methods used to achieve those results.
 * Possess valid Illinois Professional Educator License (PEL) or equivalent (required).
 * Possess valid Illinois Math endorsement or Science endorsement or equivalent (required).
 * Must be authorized to work in the United States (required).
   
   
   

COMPENSATION & BENEFITS

At Acero Schools, we offer a competitive compensation package designed to attract and retain top talent.

BENEFITS SUMMARY

We offer a comprehensive benefits package for all full time employees, including but not limited to Medical Insurance, Dental, Vision, Paid Time Off, Paid Holidays, Short & Long-Term Disability, 401k & Chicago Teachers’ Pension Fund.

COMPENSATION SUMMARY

Compensation Will Be Commensurate With Experience And Qualifications.

PHYSICAL DEMANDS AND WORKING CONDITIONS

The nature of the work requires an ability to operate standard business office equipment, collect, compile and prepare work documents, set-up and maintain work files, and an ability to communicate and exchange information. Physical demands include the ability to stand, bend, reach high and low, stoop, and walk around the classroom 60% of the day. In addition, candidates must be able to lift and/or push and pull 15 to 20 lbs. for short periods of time, and walk up and down stairs several times a day.

Majority of work is performed in a general school environment. Position requires availability for extended hours plus non-traditional hours required to perform job duties. Also requires participation and attendance at organization-sponsored events and meetings.

NOTE The foregoing list of essential duties and responsibilities is intended to be representative of the tasks performed within this classification. It is not necessarily descriptive of any one position in the class.The omission of an essential function does not preclude management from assigning duties not listed herein if such functions are a logical assignment to the position.

Acero Schools is committed to a policy of equal treatment for all individuals. Acero Schools does not discriminate on the basis of race, color, gender, handicap, age, religion, sexual orientation, or national or ethnic origin.

www.aceroschools.org","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Primary and Secondary Education",""
"High School Physics Teacher","Bronx, NY","2025-05-21","Pharos Academy"," * This is an early hire position for the 25-26 SY**
   
   

Teacher Vision

Pharos Academy Charter School is looking for a teacher who is an “uber” kid person. The ideal candidate absolutely loves to teach, train, and push students both academically as well as behaviorally. There is an understanding that messing up and failure is a natural and welcomed part of the learning process. In this teacher’s classroom, all students are treated with dignity at all times and students are taught non-academic skills like hard work, collaboration, kindness, and receiving feedback.

In addition to being a kid person, the ideal candidate has a penchant for planning, preparation, using data, and being pushed to excellence. This teacher understands that what happens before students enter the classroom (intellectual preparation) drives what happens in the classroom and ultimately determines student achievement and success levels.

What We Are Looking For


 * Commitment to daily and long-term instructional planning and preparation to ensure students get the most out of each class.
 * Commitment and drive to constantly learn and improve practice through implementing feedback from instructional leadership, peers, parents, and students to better serve and meet the needs of all students.
 * Commitment to using data to improve short term and long-term student achievement goals.
 * Full accountability for student academic outcomes and classroom culture and a steadfast belief that all students can achieve.
 * Commitment to being a team player (crew member) and belief in Pharos Academy’s core beliefs and educational viewpoint.
   
   

What We Offer You


 * Competitive salary based on performance driving student outcomes. Starting salary for new teachers begins at $80,000*.
 * 401k plan with employer matching of 5 percent.
 * Comprehensive benefits package - Medical/Dental/Vision.
 * Employee Assistance Program (EAP) to further support employees.
 * Classrooms fully stocked with 1:1 technology and all essential classroom supplies.
   
   

How We Support Growth & Development


 * Weekly one-on-one instructional coaching.
 * Weekly school-wide or departmentalized professional development.
 * Summer Professional Development Institute.
   
   

Qualifications


 * Bachelor’s degree in Physics and/or related secondary education major with a minimum grade point average of 3.0 overall.
 * Proficiency in Chemistry, and clear understanding of how to relate content to the real world.
 * Experience working with school-aged children (middle or high school aged) in an academic or youth development setting required
 * Experienced teachers must show a proven track record of achievement in the classroom.
   
   

Teacher Performance Outcomes


 * At minimum, 75% of all students meet grade level standards in content area as measured by internal assessments and state assessments.
 * At minimum, 33% of all students will exceed proficiency (level 4) in content area as measured by the internal assessments.
 * At minimum, 90% of students will show growth in in content area as measured by the internal assessments.
 * At minimum, 75% of students will meet grade level non-academic standards/goals as measured by internal assessments and performance tasks.
   
   

Full-Time Teacher Pay Range: $80,000 USD - $115,000 USD","Be among the first 25 applicants","Full-time","Not Applicable","Engineering","Real Estate, Financial Services, and Capital Markets","$80,000.00/yr - $115,000.00/yr"
"Physics Adjunct Instructor","Charleston County, SC","2025-06-12","State of South Carolina","Job Responsibilities

The Department of Physical Sciences is seeking to fill adjunct positions to begin Fall 2025. If you are passionate about sharing your knowledge with others, consider joining TTC! Responsibilities include, but are not limited to, teaching day and/or evening classes, utilizing technology, and using various teaching methods in instruction. Learn more about TTC!

Minimum And Additional Requirements

These positions require a master's degree in Physics or a master's degree with 18 semester hours of graduate-level Physics. Adjunct faculty positions require the submission of unofficial transcripts with the application.

Preferred Qualifications

Candidates with teaching experience at the college level are preferred. Applicants must be capable of adapting to an environment that is constantly changing due to advancements in information technology. Excellent customer service skills are essential.

Additional Comments

Applicants MUST complete the online SC State Jobs Employment Application, which is reviewed as needed. Resumes are NOT reviewed for qualifications.

Due to the volume of applications, we cannot respond to candidates individually regarding the status of their applications or the interview process. Only complete applications are considered. For assistance, contact Human Resources at 843.574.6201.

It is essential to include unofficial transcripts with your application . International transcripts must be evaluated through the World Education Services (WES). Official transcripts are required upon offer of employment. Unofficial transcripts can be mailed to TTC Human Resources, PO Box 118067 Charleston, SC 29423), faxed to 843.574.6682, or emailed in PDF format to Employment@tridenttech.edu by the deadline date and time.

Employment applicants may be subject to a background check. Failure to consent to a background check will result in the removal of your application from further consideration. Background checks are conducted in compliance with the Fair Credit Reporting Act (FCRA).","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Government Administration",""
"Science Teacher, Middle School (2025-26)","Columbus, OH","2025-01-24","United Schools","School Year: 2025-26

Position: Science Teacher

Grade(s): 6th, 7th, or 8th Grade

Reports to: School Director

United Schools (United) is a nonprofit organization in Columbus, Ohio. After founding its first school in 2008, it has worked together with incredible leaders to open three more schools in the span of ten years. Each United campus is an open enrollment, public charter school that works diligently to close the opportunity gap in Columbus. Moreover, the mission of all United campuses is to transform lives and our communities through the power of education, while maintaining our vision: For every child, an open door.

United currently operates two high-performing elementary schools (K-5) and two high-performing middle schools (6-8) that serve more than 800 students. We strive to provide students with a rigorous academic experience in a joyful learning environment, and we work hard to ensure that students of all levels grow and succeed by focusing on intentional student support and continual improvement.

Position Description

United Schools teaching positions provide an opportunity for talented educators to support the academic and social-emotional growth of students in a classroom setting. Teachers work with content and grade-level teams to develop and internalize rigorous, aligned curriculum, establish and maintain a joyful classroom and grade-level culture, and communicate student progress consistently with families to establish authentic partnerships between school and home. In collaboration with colleagues and school leaders, teachers use data intelligently to drive improvement efforts, implement frequent feedback in order to grow as educators, and design systems that support the needs of all learners.

Joining Our Team

United Core Traits:


 * Mission-Driven. Team members believe deeply in the United mission: to transform lives and our communities through the power of education
 * Growth Mindset. Team members believe in their ability, and the ability of all students, to grow and improve
 * Relationship-Driven. Team members get proximate to students, families, and colleagues to develop authentic relationships that inform work in the classroom
 * Conscientiousness. Team members are professional, reliable, diligent, and pay attention to detail
 * Emotionally Constant. Team members maintain a sense of calm while addressing a number of priorities
   
   

Qualifications:


 * Holds a B.A./B.S. degree and has the ability to secure the appropriate teaching license
 * Has prior experience working in urban schools and/or communities (preferred)
   
   

Knowledge and Skills:


 * Is committed to using data-driven instructional practices and the techniques outlined in Teach Like a Champion 3.0 to improve student outcomes
 * Is relentless in writing, refining, and internalizing curriculum, lessons, and assessments
 * Is open and committed to implementing frequent feedback from team members
 * Communicates effectively with students, families, and colleagues
 * Comfortability with Google products for effective communication and completion of job responsibilities
   
   

Terms of Employment


 * Although this position will begin July 28, 2025, applications will be considered immediately
 * This is a full-time position
 * Report times are typically Monday through Friday, 7:30 a.m. to 4:15 p.m., although some job-related tasks can be expected outside of these hours
 * Salary: The starting salary for a new Teacher with a Bachelor’s degree is $49,000. The starting salary for other applicants will depend on professional experience and education level
 * Benefits:
    * Medical, dental, vision, life, and disability coverage
    * Employees are eligible to participate in the State Teachers Retirement System of Ohio (STRS) or the School Employees Retirement System of Ohio (SERS)

 * All United campuses are Equal Opportunity Employers
   
   

Apply online at unitedschoolsnetwork.org/join.

Powered by JazzHR

uijbgtn8Fu","Be among the first 25 applicants","Full-time","Entry level","Education and Training","Internet Publishing",""
